name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"washington, dc",2023-05-10,71.7,50.7,61.4,71.7,50.7,61.4,45.2,58.3,0,0,0,,0,0,5.8,7.8,23.3,1021.2,74.9,9.9,205.5,17.7,8,10,2023-05-10T06:00:36,2023-05-10T20:09:09,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-11,77,53.2,65.4,77,53.2,65.4,54,68.8,0,0,0,,0,0,9.2,12.6,178.6,1021,69.2,9.9,216.4,18.8,8,10,2023-05-11T05:59:36,2023-05-11T20:10:04,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-12,83,59.6,71.3,83.8,59.6,71.5,60.5,70.7,0,0,0,,0,0,10.3,12.2,175.6,1018.9,78.5,9.9,211.7,18.3,8,10,2023-05-12T05:58:38,2023-05-12T20:11:00,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-13,75.7,64,68.7,75.7,64,68.7,63.3,83.7,0.089,100,20.83,rain,0,0,11.4,14.3,16.5,1017.7,91,9.3,51.6,4.5,2,10,2023-05-13T05:57:41,2023-05-13T20:11:55,0.78,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-14,78.8,56.5,68.3,78.8,56.5,68.3,49.1,55.3,0,0,0,,0,0,16.1,12,10.2,1021.8,42.7,9.9,221,19.1,9,10,2023-05-14T05:56:45,2023-05-14T20:12:50,0.82,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-15,73.9,55.5,64.7,73.9,55.5,64.7,41.3,42.6,0,0,0,,0,0,23,13.6,121.7,1023.9,68.1,9.9,233.5,20.2,9,10,2023-05-15T05:55:52,2023-05-15T20:13:44,0.86,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-16,78,57.6,67.9,78,57.6,67.9,56.4,67.9,0,0,0,,0,0,31.1,15.3,221.3,1010.4,83.7,9.9,146.3,12.7,9,10,2023-05-16T05:54:59,2023-05-16T20:14:38,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-17,73.9,60.5,68.3,73.9,60.5,68.3,48.1,50,0,0,0,,0,0,27.3,19.2,353.6,1008.5,59.3,9.9,200.5,17.2,8,10,2023-05-17T05:54:09,2023-05-17T20:15:31,0.93,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-18,70.6,49.5,60.3,70.6,45.6,59.9,38.8,45.2,0,0,0,,0,0,16.1,13.3,98.4,1023.6,38.3,9.9,208.5,17.8,9,10,2023-05-18T05:53:19,2023-05-18T20:16:24,0.96,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-19,73.8,55.5,64.6,73.8,55.5,64.6,51.7,64.9,0,0,0,,0,0,21.9,15.6,148.4,1024.4,71.8,9.9,184.9,16,8,10,2023-05-19T05:52:32,2023-05-19T20:17:17,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-20,79.1,57.7,66.9,79.1,57.7,66.9,58.8,76.9,0.151,100,12.5,rain,0,0,29.8,16.5,62,1016.3,83.5,9.5,214.4,18.6,8,10,2023-05-20T05:51:46,2023-05-20T20:18:08,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
